membership_id,first_name,last_name,name,email,date_of_birth,mobile_no,above_18,succesful,processed_time
,,,Edward Watson,Edward_Watson@brooks.com,2007-12-04,946371,False,False,23051223
,,,Derrick Cooke,Derrick_Cooke@hill.net,2004-09-15,4575922,False,False,23051223
,,,Arthur Hall MD,Arthur_Hall@gonzalez.com,03-11-1994,65493407,False,False,23051223
,,,Sean Patrick,Sean_Patrick@rivera.com,25-10-2000,41681,False,False,23051223
,,,Heather Collins,Heather_Collins@williams.com,1986/12/03,910971,False,False,23051223
,,,Megan Gomez,Megan_Gomez@wade-stone.com,2008-01-29,3002476,False,False,23051223
,,,William Hale,William_Hale@pena.info,22-04-2007,4519208,False,False,23051223
,,,Olivia Thompson,Olivia_Thompson@bryan-navarro.com,30-11-2005,481533,False,False,23051223
,,,Lori Torres,Lori_Torres@hill.net,1996/02/31,5795175,False,False,23051223
,,,Vickie Hernandez,Vickie_Hernandez@chapman.com,02/14/1963,25106,False,False,23051223
,,,Kimberly Brown,Kimberly_Brown@jones.com,11/23/1960,820029,False,False,23051223
,,,Sherry Meza,Sherry_Meza@west.com,04-09-1997,33491119,False,False,23051223
,,,Phillip Hansen,Phillip_Hansen@spence.com,2010/06/23,816429,False,False,23051223
,,,Jeanette Knight,Jeanette_Knight@carey.com,1952/01/30,72491,False,False,23051223
,,,Kayla Hanson,Kayla_Hanson@clay.biz,10-08-1967,6484759,False,False,23051223
,,,James Johnston,James_Johnston@fox-brandt.org,1968-10-16,52358919,False,False,23051223
,,,Dr. John Porter,John_Porter@cobb-lee.com,07-10-1985,4437021,False,False,23051223
,,,Elizabeth Reyes,Elizabeth_Reyes@roberson.com,31-01-1955,32301,False,False,23051223
,,,Kristen Henry,Kristen_Henry@parker.com,07-02-2014,675081,False,False,23051223
,,,Claudia Anderson,Claudia_Anderson@smith-lynch.info,05-10-2012,53767631,False,False,23051223
,,,Nicholas Webb,Nicholas_Webb@johnson.com,11/03/1953,993549,False,False,23051223
,,,Allison Cooper,Allison_Cooper@taylor.biz,2001/12/05,93151,False,False,23051223
,,,Zachary Barnes,Zachary_Barnes@horne.biz,2005-05-03,41935039,False,False,23051223
,,,Gregory Hill III,Gregory_Hill@sims-sparks.net,1991/11/02,2850534,False,False,23051223
,,,Terry Ayers,Terry_Ayers@morris.com,2007-08-06,76391,False,False,23051223
,,,Jessica Wilson,Jessica_Wilson@nichols.com,11/15/1954,662205,False,False,23051223
,,,Daniel Frazier,Daniel_Frazier@reilly.org,26-10-2017,2907584,False,False,23051223
,,,Brian Welch,Brian_Welch@armstrong.net,11-11-2005,417927,False,False,23051223
,,,Carol Chavez,Carol_Chavez@cantu-shelton.com,07/03/2004,4824387,False,False,23051223
,,,Ethan Mcdonald,Ethan_Mcdonald@lewis.com,1990-01-15,57126,False,False,23051223
,,,Gerald Martinez,Gerald_Martinez@jenkins-barnes.net,1986/07/01,30641,False,False,23051223
,,,Eric King,Eric_King@graham.com,14-09-1970,895557,False,False,23051223
,,,Sylvia Walters,Sylvia_Walters@archer.com,2009-02-14,64876,False,False,23051223
,,,Jonathan Lane,Jonathan_Lane@wright.com,2008/01/09,935133,False,False,23051223
,,,Matthew Turner,Matthew_Turner@martinez.com,1994/07/07,73291455,False,False,23051223
,,,Jeffrey Bauer,Jeffrey_Bauer@garza.com,08/13/1966,5115 4803,False,False,23051223
,,,Jessica Shaffer,Jessica_Shaffer@alexander.com,2013-03-05,1444542,False,False,23051223
,,,Chris Spencer,Chris_Spencer@pacheco.net,04/19/1993,45821,False,False,23051223
,,,Mary Clarke,Mary_Clarke@jacobs-martin.org,03/05/1959,6620314,False,False,23051223
,,,Timothy Mendoza,Timothy_Mendoza@rodriguez-crawford.com,1979/12/22,45876,False,False,23051223
,,,Alicia Hoffman,Alicia_Hoffman@gomez.com,2011-07-16,633645,False,False,23051223
,,,Joseph Gardner,Joseph_Gardner@bray.com,18-01-1953,18996,False,False,23051223
,,,Rachael Rangel,Rachael_Rangel@marquez.biz,1980-06-18,88691,False,False,23051223
,,,Jeffrey Harrington,Jeffrey_Harrington@smith.com,07-08-1966,76691,False,False,23051223
,,,Sophia Randolph,Sophia_Randolph@leonard-ramirez.com,1950-08-07,94510479,False,False,23051223
,,,Debbie Freeman,Debbie_Freeman@thompson.net,27-04-2010,699285,False,False,23051223
,,,Matthew Braun,Matthew_Braun@logan.net,1974/04/28,4133403,False,False,23051223
,,,Sheri Hudson,Sheri_Hudson@smith.com,20-09-2009,18706439,False,False,23051223
,,,Mary King,Mary_King@thomas-bates.com,05-03-2016,9495998,False,False,23051223
,,,Beth Davis,Beth_Davis@hernandez.com,26-09-2010,169533,False,False,23051223
,,,Margaret Castillo,Margaret_Castillo@gross.biz,12-12-1960,374415,False,False,23051223
,,,Tommy Sandoval,Tommy_Sandoval@fischer.com,24-07-1966,266061,False,False,23051223
,,,Christopher Hines,Christopher_Hines@long-hammond.com,10/09/2015,11201,False,False,23051223
,,,Richard Wright,Richard_Wright@griffin-fletcher.info,06-01-2006,539817,False,False,23051223
,,,Michael Brown,Michael_Brown@smith-schmidt.net,2012/06/18,47713991,False,False,23051223
,,,Nathan Yu,Nathan_Yu@murray.com,2001-11-12,67541,False,False,23051223
,,,Cameron Ford,Cameron_Ford@finley-vazquez.org,05/23/1966,606009,False,False,23051223
,,,Carla Hayes,Carla_Hayes@singh-ponce.net,03/01/1819,6159196,False,False,23051223
,,,Marissa Matthews,Marissa_Matthews@graves.com,02/21/1972,2063 6447,False,False,23051223
,,,Dr. Samuel Thompson,Samuel_Thompson@sanchez-carroll.com,03-04-1984,99063183,False,False,23051223
,,,Gary Figueroa,Gary_Figueroa@hernandez.com,07/11/1963,3026717,False,False,23051223
,,,Michael West,Michael_West@rojas.net,2011-07-23,2103781,False,False,23051223
,,,Martin Walton,Martin_Walton@grant.org,2011/05/12,593379,False,False,23051223
,,,Zachary Lee,Zachary_Lee@smith.com,1987/07/04,36447751,False,False,23051223
,,,Christopher Stephenson,Christopher_Stephenson@wade.com,05/06/1962,435111,False,False,23051223
,,,Eric Ortiz,Eric_Ortiz@johnson.com,2005-02-08,3593234,False,False,23051223
,,,Kara Pittman,Kara_Pittman@gomez-vaughn.com,25-05-1968,80502567,False,False,23051223
,,,Andrew Cowan,Andrew_Cowan@gray-young.info,22-08-1961,128361,False,False,23051223
,,,Rhonda Moss DDS,Rhonda_Moss@nelson.com,1951/12/30,817173,False,False,23051223
,,,Sarah Williams,Sarah_Williams@morris.org,05-06-1985,553179,False,False,23051223
,,,Carolyn Collins,Carolyn_Collins@taylor.info,1996/12/26,82871,False,False,23051223
,,,Larry Mooney,Larry_Mooney@west-sanchez.info,2010-10-28,61381,False,False,23051223
,,,Laura Livingston,Laura_Livingston@ponce.biz,1991-03-07,178515,False,False,23051223
,,,Candace Mckenzie,Candace_Mckenzie@evans-fields.com,03/18/1952,4009167,False,False,23051223
,,,Candace Wallace,Candace_Wallace@dickerson.com,05-08-1998,45146,False,False,23051223
,,,Jason White,Jason_White@hill.org,05-05-2005,186057,False,False,23051223
,,,Patricia Reynolds,Patricia_Reynolds@holt-sweeney.com,2012/05/08,21775831,False,False,23051223
,,,Michael Ellison,Michael_Ellison@brown.com,1988/04/07,398331,False,False,23051223
,,,Melissa Robles,Melissa_Robles@ryan-meyers.com,05/19/1980,90836,False,False,23051223
,,,Heidi Fry,Heidi_Fry@ross.org,07/02/1998,82436,False,False,23051223
,,,James Smith,James_Smith@perez-cole.info,1966/02/25,85794215,False,False,23051223
,,,Charles Ruiz,Charles_Ruiz@sullivan-jones.com,01/13/1968,8515 8255,False,False,23051223
,,,Stephanie Green DDS,Stephanie_Green@collins.com,2011-11-12,736485,False,False,23051223
,,,Stacey Garcia,Stacey_Garcia@dalton-henry.com,1987/01/20,72151,False,False,23051223
,,,Glenda Burke,Glenda_Burke@smith.biz,14-03-1976,83726,False,False,23051223
,,,Zachary Alvarez,Zachary_Alvarez@kelly.com,2001-09-10,25626,False,False,23051223
,,,Rachel Shaw,Rachel_Shaw@stevenson-martinez.com,12/23/1958,6651 1687,False,False,23051223
,,,Carmen Beard,Carmen_Beard@estrada.net,2016/02/29,60170903,False,False,23051223
,,,Tony Daniels,Tony_Daniels@arellano.com,06/14/1976,9584653,False,False,23051223
,,,Randy Mora,Randy_Mora@herrera-strong.biz,27-11-1993,77326903,False,False,23051223
,,,George Aguirre,George_Aguirre@herrera.com,2002/12/01,615255,False,False,23051223
,,,James Miller,James_Miller@nguyen.com,08/31/1971,6491 7031,False,False,23051223
,,,Jacqueline Williams,Jacqueline_Williams@bell-salas.biz,1991-08-10,48250447,False,False,23051223
,,,April Taylor,April_Taylor@barnes.net,2010-09-15,44364927,False,False,23051223
,,,Robert Johnson,Robert_Johnson@kelly.com,03/10/1956,7776119,False,False,23051223
,,,Gary White,Gary_White@brown.org,12/31/1962,3255036,False,False,23051223
,,,Kim Lowe,Kim_Lowe@pratt.com,11-06-1953,7925947,False,False,23051223
,,,Samantha Jones,Samantha_Jones@cortez-frazier.biz,07/21/1955,8965083,False,False,23051223
,,,Randy Lozano,Randy_Lozano@patton-peters.com,30-01-1970,469011,False,False,23051223
,,,Arthur Chavez,Arthur_Chavez@lyons.com,1988/01/01,398565,False,False,23051223
,,,Melissa Miller,Melissa_Miller@anderson-hayes.com,25-02-2011,45981,False,False,23051223
,,,Leslie Mccormick,Leslie_Mccormick@moore.com,26-10-1968,240375,False,False,23051223
,,,Carlos Rubio,Carlos_Rubio@maynard.org,17-06-2017,8913535,False,False,23051223
,,,David York,David_York@shaffer.biz,07/14/1998,628659,False,False,23051223
,,,Gabriella Anthony,Gabriella_Anthony@castro.com,1997-01-06,89108943,False,False,23051223
,,,Olivia Poole,Olivia_Poole@blake.com,04/18/1977,7408416,False,False,23051223
,,,Wayne Wilson,Wayne_Wilson@christian.com,1958/02/14,8696654,False,False,23051223
,,,Elizabeth Moore,Elizabeth_Moore@kelley.biz,1975/05/24,92096903,False,False,23051223
,,,Janice Campbell,Janice_Campbell@davis-ryan.com,15-03-1950,951693,False,False,23051223
,,,Julie Johnson,Julie_Johnson@brown-murray.biz,2006/06/06,754581,False,False,23051223
,,,Misty Cantrell,Misty_Cantrell@flores-decker.com,1957-03-03,79619831,False,False,23051223
,,,Robert Soto,Robert_Soto@huffman.org,21-02-1964,157035,False,False,23051223
,,,Brenda Cowan,Brenda_Cowan@white-marsh.com,1960/08/24,401061,False,False,23051223
,,,Kelly Guerrero,Kelly_Guerrero@riggs.com,1997/02/03,53052583,False,False,23051223
,,,David Nichols,David_Nichols@rocha.com,19-08-1962,62269575,False,False,23051223
,,,Kayla Taylor,Kayla_Taylor@ball.biz,1955-03-23,798915,False,False,23051223
,,,Antonio Garcia,Antonio_Garcia@williamson-warren.com,1969-01-23,8287959,False,False,23051223
,,,Tyler Cisneros,Tyler_Cisneros@frye-velasquez.info,31-05-1969,581631,False,False,23051223
,,,Jillian Crawford,Jillian_Crawford@may-meza.com,1980-06-21,638457,False,False,23051223
,,,Karl Pierce,Karl_Pierce@aguilar.com,04/28/1999,4696945,False,False,23051223
,,,Joann Taylor,Joann_Taylor@hernandez.com,09/07/1985,645597,False,False,23051223
,,,Jennifer Jenkins,Jennifer_Jenkins@gilmore-king.com,12/21/1992,689985,False,False,23051223
,,,Nancy Brown,Nancy_Brown@alexander.com,1969-05-01,40586,False,False,23051223
,,,Emma Munoz,Emma_Munoz@hill.com,1967/10/17,3247525,False,False,23051223
,,,Shawn Galloway,Shawn_Galloway@johnston.com,1985/04/19,17471367,False,False,23051223
,,,Melissa Mcguire,Melissa_Mcguire@smith-payne.org,1975/04/02,7129991,False,False,23051223
,,,Bryan Chavez,Bryan_Chavez@campbell-boyd.com,08-09-2002,686979,False,False,23051223
,,,Fernando Salazar,Fernando_Salazar@humphrey.com,04/19/1972,7119 2443,False,False,23051223
,,,Megan Moore,Megan_Moore@sanchez.com,02/07/1955,6151034,False,False,23051223
,,,Robert Williams,Robert_Williams@rogers.net,09-03-1984,5827648,False,False,23051223
,,,Dennis Sanford,Dennis_Sanford@lopez-archer.com,1980/08/06,88084407,False,False,23051223
,,,Kimberly Herrera,Kimberly_Herrera@stevens.com,1987-06-15,274011,False,False,23051223
,,,Gloria Potts,Gloria_Potts@kidd.org,20-11-1956,93061,False,False,23051223
,,,Suzanne Barnett,Suzanne_Barnett@norman-payne.com,1952-08-28,856419,False,False,23051223
,,,Leah Myers,Leah_Myers@nichols-davies.info,1986-09-05,65720823,False,False,23051223
,,,Kylie Thomas,Kylie_Thomas@thomas.com,1996/10/05,950613,False,False,23051223
,,,Amanda Murphy,Amanda_Murphy@bright-gibbs.net,2000/07/30,30501351,False,False,23051223
,,,Christopher Matthews,Christopher_Matthews@holloway.com,18-04-1969,5612601,False,False,23051223
,,,Nicole Parks,Nicole_Parks@haney-hahn.org,2005-05-09,4168158,False,False,23051223
,,,Bobby Martin,Bobby_Martin@jackson.com,31-03-2000,43871143,False,False,23051223
,,,Kevin Chambers,Kevin_Chambers@brown-miller.com,1996-12-03,31371,False,False,23051223
,,,Kimberly Lawson,Kimberly_Lawson@bennett-fletcher.com,1968/08/24,8918561,False,False,23051223
,,,Rachel Lopez,Rachel_Lopez@nichols.com,08/14/1964,88726,False,False,23051223
,,,Christopher Clay,Christopher_Clay@clark-brown.biz,2017-04-21,563625,False,False,23051223
,,,Daniel Martin,Daniel_Martin@mendez-miller.com,1961-09-29,2787681,False,False,23051223
,,,William Taylor,William_Taylor@garcia-bush.net,11/04/1955,374985,False,False,23051223
,,,Steven Johnson,Steven_Johnson@hall.com,2005-07-16,95881,False,False,23051223
,,,Daniel Miller,Daniel_Miller@jackson.info,19-01-2000,86343895,False,False,23051223
,,,Taylor Bryant,Taylor_Bryant@walker.com,04/06/2016,80016,False,False,23051223
,,,Lauren Jones,Lauren_Jones@castaneda.com,07/24/1987,9651 2831,False,False,23051223
,,,Lindsey Robertson,Lindsey_Robertson@solomon.com,06/03/1970,51586,False,False,23051223
,,,Allison Thomas,Allison_Thomas@phillips-garcia.com,13-02-1968,5959150,False,False,23051223
,,,Vernon Bishop,Vernon_Bishop@clark-larson.com,1973/07/10,78396487,False,False,23051223
,,,Susan Parsons,Susan_Parsons@carter.biz,07/29/1994,724803,False,False,23051223
,,,Brady Snyder,Brady_Snyder@archer.com,15-06-1999,703269,False,False,23051223
,,,Brent Mcgrath,Brent_Mcgrath@jackson-maxwell.info,2017/02/26,225897,False,False,23051223
,,,Peter Smith,Peter_Smith@wright.com,12/29/1950,707703,False,False,23051223
,,,Deborah Fox,Deborah_Fox@watts.org,2017/02/22,3735915,False,False,23051223
,,,Heather Collins,Heather_Collins@daniels.com,2017/08/20,880443,False,False,23051223
,,,Phillip Meyers,Phillip_Meyers@mcneil-williams.com,22-10-1960,95409119,False,False,23051223
,,,Nicholas Hubbard,Nicholas_Hubbard@day.info,1964/12/24,36966279,False,False,23051223
,,,Misty Ramirez,Misty_Ramirez@chavez.com,23-10-2014,1951391,False,False,23051223
,,,Scott Johnson,Scott_Johnson@davis.com,03/11/1965,682641,False,False,23051223
,,,Jay Nixon,Jay_Nixon@brown-sanchez.info,1961/08/29,128097,False,False,23051223
,,,Tony Hall,Tony_Hall@david.com,2009-02-16,8117866,False,False,23051223
,,,Taylor Smith,Taylor_Smith@williams-burns.info,1985-04-09,8532231,False,False,23051223
,,,Mark Reynolds,Mark_Reynolds@stokes-mcpherson.com,06/01/1989,1255759,False,False,23051223
,,,Marilyn Christensen,Marilyn_Christensen@cooper-ward.com,26-03-2008,94007639,False,False,23051223
,,,Denise Atkins,Denise_Atkins@smith-shelton.net,2011/01/18,691611,False,False,23051223
,,,Melissa Gonzales,Melissa_Gonzales@collins.com,2018-11-03,513771,False,False,23051223
,,,Henry Hoffman,Henry_Hoffman@hubbard-garrett.com,18-05-1965,38756,False,False,23051223
,,,Daisy Davenport,Daisy_Davenport@spencer-guerrero.info,1993/01/15,20866,False,False,23051223
,,,Christopher Paul,Christopher_Paul@smith-gonzales.com,18-03-1955,8029330,False,False,23051223
,,,Kevin Craig,Kevin_Craig@osborne-hudson.biz,14-04-2011,939093,False,False,23051223
,,,Natalie Coleman,Natalie_Coleman@robertson.com,2011/10/17,80856,False,False,23051223
,,,Jeremy Strickland,Jeremy_Strickland@adkins.com,12/23/1950,2015 1487,False,False,23051223
,,,Gary Bonilla,Gary_Bonilla@carr.biz,03/16/1992,636849,False,False,23051223
,,,Amanda Richards,Amanda_Richards@ramirez.biz,23-12-1970,32284303,False,False,23051223
,,,Heidi Perez,Heidi_Perez@harper.com,13-04-1970,215895,False,False,23051223
,,,Robert Johnson,Robert_Johnson@mitchell.info,10/18/2000,6258351,False,False,23051223
,,,Gary Mills,Gary_Mills@pearson-benson.com,1957-01-10,18231,False,False,23051223
,,,Chelsea Caldwell,Chelsea_Caldwell@gomez.com,17-02-1995,268449,False,False,23051223
,,,John Frye,John_Frye@johnson.org,11/18/1950,3519734,False,False,23051223
,,,Michael Strong,Michael_Strong@bradley.com,24-11-1969,575217,False,False,23051223
,,,Christopher Delgado,Christopher_Delgado@robinson.com,2016-07-16,715353,False,False,23051223
,,,Whitney Wallace,Whitney_Wallace@valdez.info,1978-09-30,97125103,False,False,23051223
,,,Rebecca Martinez,Rebecca_Martinez@russell.com,10/26/1988,171597,False,False,23051223
,,,Marissa Mccoy,Marissa_Mccoy@ruiz.com,1991-08-23,9407994,False,False,23051223
,,,Ricky Kerr,Ricky_Kerr@fischer-savage.biz,2006/04/27,200889,False,False,23051223
,,,Anna Campbell,Anna_Campbell@alvarez.com,11-04-1991,875505,False,False,23051223
,,,Marie Walters,Marie_Walters@navarro.biz,1978-03-10,995145,False,False,23051223
,,,Robert Martin,Robert_Martin@crawford.com,18-07-1950,78547615,False,False,23051223
,,,Marc Davis,Marc_Davis@harris.com,05/20/1980,9659 7403,False,False,23051223
,,,James Dixon,James_Dixon@manning.com,05/18/2007,337551,False,False,23051223
,,,Vicki Ramirez,Vicki_Ramirez@mcdonald.com,2013-01-17,71806,False,False,23051223
,,,Krista Campbell,Krista_Campbell@stark.net,24-04-1994,357441,False,False,23051223
,,,Lauren Patterson,Lauren_Patterson@love-taylor.net,12/01/2009,85706,False,False,23051223
,,,Megan Clark,Megan_Clark@lutz-garrison.info,1960/09/28,17556,False,False,23051223
,,,Judy Zimmerman,Judy_Zimmerman@baker.com,11/09/2017,6415123,False,False,23051223
,,,Joseph Williams MD,Joseph_Williams@wall-smith.info,2001-07-01,97871,False,False,23051223
,,,Lori Acevedo,Lori_Acevedo@randolph.com,30-10-1978,50796,False,False,23051223
,,,William Taylor,William_Taylor@warner-morgan.net,1986-01-31,42996791,False,False,23051223
,,,Dawn Snyder,Dawn_Snyder@long-hamilton.info,1956-07-08,245361,False,False,23051223
,,,Jennifer Simmons,Jennifer_Simmons@matthews.com,05-11-1984,69056,False,False,23051223
,,,Alyssa Nunez,Alyssa_Nunez@johnson.com,1992-08-24,46831,False,False,23051223
,,,Robert Black,Robert_Black@cooper.biz,19-06-1980,768243,False,False,23051223
,,,Julia Young,Julia_Young@bishop.info,20-07-1989,67471,False,False,23051223
,,,Melinda Barnes,Melinda_Barnes@porter.com,1953/06/18,83881,False,False,23051223
